ID_cattura;DATA;ALBA;sessione;occasione;ID_TRAPPOLA;chip;ricattura;pelo;peso (g);sex;eta;statoripr;NOTE;DOY
68;29/08/2015;A;II (sett.);4;74;1313979;N;NA;40;M;A;R;;241
69;29/08/2015;A;II (sett.);4;71;NA;N;NA;18;NA;G;NR;;241
70;29/08/2015;A;II (sett.);4;43;1312387;N;NA;26;F;A;NR;;241
71;29/08/2015;A;II (sett.);4;35;1312250;R;A/E;27;M;A;NR;;241
72;29/08/2015;T;II (sett.);5;12;1314797;R;NA;25;M;G;NR;;241
73;29/08/2015;T;II (sett.);5;19;1314106;R;NA;35;M;A;R;;241
74;29/08/2015;T;II (sett.);5;73;NA;N;NA;22;NA;G;NR;;241
75;29/08/2015;T;II (sett.);5;40;1315457;R;A/B;28;F;A;NR;;241
76;29/08/2015;T;II (sett.);5;35;1312250;R;A/E;30;M;A;R;;241
77;30/08/2015;A;II (sett.);6;57;1315304;R;B;35;M;A;R;;242
78;30/08/2015;A;II (sett.);6;70;NA;N;NA;19;M;G;NR;;242
79;30/08/2015;A;II (sett.);6;19;1313807;R;NA;29;F;A;R;;242
80;30/08/2015;A;II (sett.);6;65;1314106;R;NA;NA;M;A;R;;242
81;30/08/2015;A;II (sett.);6;64;1315457;R;A/B;21;F;A;NR;;242
82;30/08/2015;A;II (sett.);6;74;1313979;R;NA;38;M;A;R;;242
83;30/08/2015;A;II (sett.);6;67;1313222;N;NA;25;M;A;NR;;242
84;30/08/2015;A;II (sett.);6;28;1312250;R;A/E;28;M;A;NR;;242
85;30/08/2015;A;II (sett.);6;35;1314691;R;F;38;F;A;NR;;242
86;30/08/2015;A;II (sett.);6;34;1315467;N;NA;30;F;A;NR;;242
87;30/08/2015;T;II (sett.);7;9;1313807;R;NA;31;F;A;R;;242
88;30/08/2015;T;II (sett.);7;14;1314797;R;NA;23;M;G;NR;;242
89;30/08/2015;T;II (sett.);7;70;NA;N;NA;20;NA;G;NR;;242
90;30/08/2015;T;II (sett.);7;35;1312250;R;A/E;35;M;A;NR;;242
91;31/08/2015;A;II (sett.);8;37;1312250;R;A/E;38;M;A;NR;;243
92;31/08/2015;A;II (sett.);8;35;1315467;R;NA;28;F;A;NR;;243
93;31/08/2015;A;II (sett.);8;14;1314797;R;NA;24;M;G;NR;;243
94;31/08/2015;A;II (sett.);8;55;1315304;R;B;NA;M;A;R;;243
95;31/08/2015;A;II (sett.);8;60;1315457;R;A/B;27;F;A;NR;;243
96;31/08/2015;A;II (sett.);8;64;1313979;R;NA;38;M;A;R;;243
97;31/08/2015;A;II (sett.);8;68;NA;N;NA;21;NA;G;NR;;243
98;31/08/2015;A;II (sett.);8;74;NA;N;NA;18;NA;G;NR;;243
99;31/08/2015;T;II (sett.);9;55;1315304;R;B;37;M;A;R;;243
100;31/08/2015;T;II (sett.);9;19;1314797;R;NA;23;M;G;NR;;243
101;31/08/2015;T;II (sett.);9;56;NA;N;NA;20;NA;G;NR;;243
102;31/08/2015;T;II (sett.);9;72;NA;N;NA;19;NA;G;NR;;243
103;31/08/2015;T;II (sett.);9;65;1313979;R;NA;NA;M;A;R;;243
104;31/08/2015;T;II (sett.);9;49;NA;N;NA;NA;NA;G;NA;;243
105;31/08/2015;T;II (sett.);9;31;1312250;R;A/E;26;M;A;NR;;243
106;31/08/2015;T;II (sett.);9;15;NA;N;NA;NA;NA;G;NR;;243
107;31/08/2015;T;II (sett.);9;64;1315457;R;A/B;NA;F;A;NR;;243
108;03/09/2015;A;II (sett.);14;8;1313807;R;NA;25;F;A;R;;246
109;03/09/2015;A;II (sett.);14;11;1314797;R;NA;27;M;G;NR;;246
110;03/09/2015;A;II (sett.);14;14;NA;N;NA;20;F;G;NR;;246
111;03/09/2015;A;II (sett.);14;72;NA;N;NA;22;M;G;NR;;246
112;03/09/2015;A;II (sett.);14;69;1314269;R;NA;36;M;A;NR;;246
113;03/09/2015;A;II (sett.);14;60;NA;N;NA;NA;NA;G;NR;;246
114;03/09/2015;A;II (sett.);14;33;1315467;R;NA;27;F;A;NR;;246
115;03/09/2015;A;II (sett.);14;35;1312250;R;A/E;28;M;A;NR;;246
116;03/09/2015;A;II (sett.);14;46;1313807;R;NA;25;F;A;R;;246
117;03/09/2015;A;II (sett.);14;19;1314797;R;NA;27;M;G;NR;;246
118;03/09/2015;A;II (sett.);14;3;NA;N;NA;18;NA;G;NR;;246
119;04/09/2015;T;II (sett.);17;3;NA;N;NA;17;NA;G;NR;;247
120;04/09/2015;T;II (sett.);17;14;1314797;R;NA;27;M;G;NR;;247
121;04/09/2015;T;II (sett.);17;18;1313807;R;NA;29;F;A;R;;247
122;04/09/2015;T;II (sett.);17;43;1314269;R;NA;37;M;A;NR;;247
123;05/09/2015;T;II (sett.);19;15;NA;N;NA;23;NA;G;NR;;248
124;05/09/2015;T;II (sett.);19;42;NA;N;NA;18;NA;G;NR;;248
125;05/09/2015;T;II (sett.);19;43;1314269;R;NA;38;M;A;NR;;248
126;06/09/2015;T;II (sett.);21;14;1314797;R;NA;25;M;G;NR;;249
127;06/09/2015;T;II (sett.);21;18;NA;N;NA;29;M;A;NR;;249
128;06/09/2015;T;II (sett.);21;23;NA;N;NA;19;NA;G;NR;;249
129;06/09/2015;T;II (sett.);21;35;1312250;R;A/E;29;M;A;NR;;249
130;06/09/2015;T;II (sett.);21;34;1315467;R;NA;25;F;A;NR;;249
131;07/09/2015;T;II (sett.);23;23;NA;N;NA;19;NA;G;NR;;250
132;07/09/2015;T;II (sett.);23;9;NA;N;NA;30;NA;A;NA;;250
133;07/09/2015;T;II (sett.);23;12;1314797;R;NA;27;M;G;NR;;250
1;22/07/2016;A;I (luglio);2;28;NA;N;A (dec);37;M;A;NA;;204
2;22/07/2016;A;I (luglio);2;12;NA;NA;NA;NA;NA;NA;NA;;204
3;22/07/2016;A;I (luglio);2;24;NA;NA;NA;NA;NA;NA;NA;;204
4;25/07/2016;A;I (luglio);8;16;NA;N;Eb/Fg;42;M;A;R;;207
5;25/07/2106;A;I (luglio);8;33;1315467;R;g;35;F;A;NR;;206
6;25/07/2016;T;I (luglio);9;16;1315467;R;NA;NA;F;A;NR;;207
7;26/07/2016;A;I (luglio);10;43;NA;N;Dg;45;M;A;NR;;208
8;26/07/2016;A;I (luglio);10;33;NA;N;Cg/Ep;38;M;A;NR;;208
