ID_cattura;DATA;ALBA;sessione;occasione;ID_TRAPPOLA;chip;ricattura;pelo;peso (g);sex;eta;statoripr;NOTE;DOY
46;28/08/2017;T;I (agosto);16;32;NA;R;C/Eg;16;M;G;NR;;240
47;29/08/2017;A;I (agosto);17;41;NA;R;strisce A/C/E B/D/F;26;F;A;NR;;241
48;29/08/2017;A;I (agosto);17;43;NA;R;centro buco;32;M;A;NR;;241
49;29/08/2017;A;I (agosto);17;44;NA;R;C/Dg;22;M;A;NR;;241
50;29/08/2017;A;I (agosto);17;18;NA;R;A/B/centro b;28;M;A;NR;;241
51;29/08/2017;A;I (agosto);17;48;NA;N;NA;23;F;A;NR;;241
52;29/08/2017;A;I (agosto);17;15;NA;R;centro basso buco;NA;M;A;R;morto nel pomeriggio;241
53;29/08/2017;A;I (agosto);17;12;NA;R;A/B/centro b;NA;M;A;NR;ripreso dopo 5 min;241
54;29/08/2017;A;I (agosto);17;25;NA;R?;A/F buchi;15;M;G;NR;;241
55;29/08/2017;A;I (agosto);17;34;NA;R;C/Eg;15;M;G;NR;;241
56;29/08/2017;A;I (agosto);17;32;NA;R;B/centro b;28;M;A;NR;;241
57;29/08/2017;A;I (agosto);17;30;NA;R;centro basso g;14;F;G;NR;;241
58;29/08/2017;A;I (agosto);17;23;NA;R;centro buco;35;M;A;NR;;241
59;29/08/2017;A;I (agosto);17;41;NA;R;C/Dg;25;M;A;NR;;241
1;21/07/2018;T;I (luglio);1;39;NA;N;F;33;F;A;NR;;202
2;21/07/2018;T;I (luglio);1;37;NA;N;E;40;M;A;R;;202
3;22/07/2018;A;I (luglio);2;11;NA;N;D;40;F;A;NR;;203
4;22/07/2018;A;I (luglio);2;13;NA;N;C;49;M;A;R;;203
5;22/07/2018;A;I (luglio);2;23;NA;N;A;31;M;G;R;;203
6;22/07/2018;A;I (luglio);2;33;NA;N;NA;26;M;G;NR;morto;203
7;22/07/2018;T;I (luglio);3;5;NA;N;D;29;M;G;NR;;203
8;23/07/2018;A;I (luglio);4;39;NA;R;D;30;M;G;NR;;204
9;23/07/2018;A;I (luglio);4;20;NA;N;F;42;F;A;NR;;204
10;23/07/2018;A;I (luglio);4;19;NA;N;B;38;M;A;R;;204
11;23/07/2018;A;I (luglio);4;12;NA;N;E-F;41;M;A;R;;204
12;23/07/2018;T;I (luglio);5;19;NA;N;C-D;40;M;A;NR;;204
13;23/07/2018;T;I (luglio);5;2;NA;R;F;33;F;A;NR;;204
14;24/07/2018;A;I (luglio);6;38;NA;N;NA;34;M;A;NR;morto;205
15;24/07/2018;A;I (luglio);6;39;NA;N;A;40;F;A;NR;;205
16;24/07/2018;T;I (luglio);7;20;NA;N;E-F;41;M;A;R;;205
17;25/07/2018;A;I (luglio);8;19;NA;R;A-B;44;M;A;R;;206
18;25/07/2018;A;I (luglio);8;12;NA;N;NA;41;M;A;NR;morto;206
19;25/07/2018;A;I (luglio);8;42;NA;N;D;34;F;A;NR;;206
20;25/07/2018;A;I (luglio);8;3;NA;R;E-F/A;42;M;A;R;;206
21;25/07/2018;T;I (luglio);9;20;NA;N;E-F;36;F;A;R;;206
22;25/07/2018;T;I (luglio);9;42;NA;N;SENZA OCCHIO SIN;45;F;A;NR;;206
23;26/07/2018;A;I (luglio);10;43;NA;R;SENZA OCCHIO SIN;38;F;A;NR;;207
24;27/07/2018;A;I (luglio);10;20;NA;R;SENZA OCCHIO SIN;39;F;A;NR;;208
25;27/07/2018;A;I (luglio);10;17;NA;R;E-F;38;M;A;R;morto;208
26;28/07/2018;T;I (luglio);11;19;NA;R;E-F;31;F;A;R;;209
27;29/07/2018;T;I (luglio);11;33;NA;N;NA;20;IND;G;NR;;210
28;29/07/2018;T;I (luglio);11;42;NA;R;D;35;F;A;NR;;210
29;29/07/2018;T;I (luglio);11;8;NA;R;E-F;31;F;A;R;;210
30;26/08/2018;T;II (sett.);1;11;NA;N;SENZA OCCHIO SIN;41;F;A;NR;;238
31;26/08/2018;T;II (sett.);1;9;NA;N;E-F;33;F;A;R;;238
32;27/08/2018;A;II (sett.);2;30;NA;N;NA;25;M;G;NR;;239
33;27/08/2018;A;II (sett.);2;40;NA;N;NA;29;M;G;NR;;239
34;27/08/2018;A;II (sett.);2;27;NA;N;A;41;M;A;NR;;239
35;27/08/2018;A;II (sett.);2;45;NA;N;A piccolo;37;F;A;R;;239
36;27/08/2018;T;II (sett.);3;35;NA;N;NA;29;F;G;NR;;239
37;27/08/2018;T;II (sett.);3;9;NA;R;E-F;33;F;A;R;;239
38;28/08/2018;A;II (sett.);4;20;NA;R;A piccolo;35;F;A;R;;240
39;28/08/2018;A;II (sett.);4;28;NA;N;NA;28;M;G;NR;;240
40;28/08/2018;A;II (sett.);4;9;NA;R;E-F;32;F;A;R;;240
41;28/08/2018;T;II (sett.);5;33;NA;N;NA;31;M;G;NR;;240
42;28/08/2018;T;II (sett.);5;43;NA;R;A piccolo;36;F;A;R;;240
43;29/08/2018;A;II (sett.);6;33;NA;N;NA;29;F;G;NR;;241
44;29/08/2018;A;II (sett.);6;2;NA;N;NA;28;F;G;NR;;241
45;29/08/2018;A;II (sett.);6;9;NA;R;E-F;31;F;A;R;;241
46;29/08/2018;A;II (sett.);6;43;NA;R;A;38;M;A;NR;;241
47;29/08/2018;A;II (sett.);6;36;NA;N;NA;25;F;G;NR;;241
48;29/08/2018;T;II (sett.);7;31;NA;N;B;36;F;A;R;;241
49;29/08/2018;T;II (sett.);7;36;NA;NA;NA;NA;IND;NA;NA;morto;241
50;30/08/2018;T;II (sett.);7;43;NA;N;C;35;F;A;NR;;242
51;30/08/2018;T;II (sett.);7;8;NA;R;E-F;29;F;A;R;;242
52;30/08/2018;T;II (sett.);7;2;NA;N;NA;25;M;G;NR;;242
53;30/08/2018;T;II (sett.);7;3;NA;N;NA;18;M;G;NR;;242
54;31/08/2018;A;II (sett.);8;33;NA;N;NA;25;F;G;NR;;243
55;31/08/2018;A;II (sett.);8;37;NA;NA;NA;NA;M;A;R;morto per ermellino;243
56;31/08/2018;A;II (sett.);8;24;NA;N;NA;28;F;G;NR;;243
57;31/08/2018;A;II (sett.);8;45;NA;N;A-B;42;M;A;R;;243
58;31/08/2018;A;II (sett.);8;42;NA;N;NA;31;F;A;NR;morto;243
59;02/09/2018;T;II (sett.);9;24;NA;NA;NA;NA;IND;NA;NA;morto per ermellino;245
1;26/07/2019;A;I (luglio);2;5;;N;NA;30;M;A;NR;;207
2;29/07/2019;A;I (luglio);8;29;;N;NA;39;F;A;NR;;210
3;27/08/2019;A;II (agosto);4;20;;N;NA;27;F;NA;NR;;239
